G000519065	G003241225	81.92
G001279695	G001484705	81.93
G001417815	G008673975	81.93
G001188915	G000390045	81.94
G001427825	G002362815	81.94
G000294575	G009691185	81.95
G000497425	G001484705	81.95
G000701445	G002362815	81.97
G000949635	G011525665	81.97
G000429085	G001484705	81.98
G000026405	G002386555	81.99
G000158915	G000719825	81.99
G000821105	G011742915	81.99
G000695235	G001484705	82.02
G000429605	G002396545	82.06
G000178875	G003241225	82.07
G000706625	G000296235	82.07
G000315565	G012031965	82.08
G000719955	G001484705	82.08
G000420065	G008661855	82.09
G000520555	G004001285	82.12
G000264315	G001898415	82.13
G001425945	G002362815	82.13
G000518285	G003013295	82.14
G000741785	G008673975	82.14
G000745175	G002384255	82.14
G000717345	G001484705	82.15
G000719955	G000719825	82.16
G000820125	G001634345	82.16
G000953825	G003524365	82.16
G000341145	G000340945	82.17
G000741715	G008673975	82.17
G001278075	G001484705	82.17
G000828075	G012031965	82.18
G000964095	G002381195	82.18
G001267925	G009914615	82.18
G001465295	G002297745	82.18
G001482365	G003450595	82.19
G001279695	G000719825	82.21
G000813765	G002362815	82.23
G000278155	G000296235	82.24
G001425835	G003963195	82.24
G001027285	G003612255	82.25
G001418465	G001484705	82.25
G000180175	G900538725	82.26
G000612825	G001475495	82.26
G000718595	G001484705	82.26
G000204645	G002281795	82.27
G000241265	G002435425	82.27
G000196815	G900696505	82.28
G000158915	G001484705	82.30
G000717475	G011049455	82.30
G000720475	G000719825	82.30
G000385415	G000296235	82.32
G000716675	G001484705	82.32
G000716805	G001484705	82.32
G001310255	G002362815	82.32
G000981765	G003370465	82.33
G000255295	G006519765	82.34
G000067205	G001525555	82.35
G000253235	G001484705	82.36
G000317655	G002813895	82.37
G000719335	G000719825	82.38
G000830005	G000719825	82.38
G001429505	G003248805	82.38
G000253235	G000719825	82.40
G000283495	G002319965	82.40
G000711245	G002706265	82.41
G000056065	G001311765	82.42
G000238395	G002297745	82.43
G000407545	G000438515	82.43
G000046705	G000296235	82.45
G000312005	G001898175	82.45
G000164865	G001807845	82.47
G001042635	G008673975	82.47
G000716675	G000719825	82.48
G000236865	G002431805	82.49
G000719335	G001484705	82.49
G000725165	G001723875	82.49
G001418465	G000719825	82.50
G000701345	G004799405	82.54
G000830005	G001484705	82.54
