G000294715	G000296235
G000816565	G004001285
G000278195	G000296235
G000721235	G000719825
G000354175	G003123995
G000828075	G012031965
G001399775	G002378905
G000422085	G001914155
G000009765	G000719825
G000022725	G000296235
G000817735	G012031965
G000312545	G000296235
G000276805	G002733565
G000046705	G000296235
G000708545	G000296235
G000185905	G004962545
G000716215	G000719825
G000315565	G012031965
G000698575	G000818655
G000737945	G002380595
G000247895	G001807845
G000385415	G000296235
G000695055	G003123995
G000332975	G002500165
G000341385	G000296235
G000230695	G001898415
G001418415	G001484705
G000008385	G902642035
G001040945	G009914615
G001306135	G003512625
G000008385	G902646925
G000008385	G902646925
G001418585	G000719825
G000421625	G002378905
G000770645	G003132105
G001419695	G001484705
G000175235	G002281795
G001262595	G001476225
G000280015	G000296235
G000196395	G001634345
G000829315	G902642035
G000183745	G011330655
G000512915	G900545845
G000953735	G002733565
G000786655	G003450595
G000754505	G009691185
G001189955	G009914615
G000805385	G001475495
G000214035	G003248915
G000725175	G001723875
G000158215	G002211645
G001025175	G008673975
G000721105	G000719825
G000156435	G001484705
G000824785	G004018905
G001012825	G002367055
G000278115	G000296235
G000478785	G003516665
G000376585	G902642035
G000344275	G004331935
G000014805	G001634345
G000820205	G001634345
G000341655	G002431625
G000073005	G902642035
G000009025	G002431625
G000830885	G002431625
G000025585	G002431625
G000073005	G902646925
G000341695	G002431625
G000016705	G002431625
G001460955	G002431625
G000376585	G902646925
G000015885	G900638075
G000204235	G001812935
G001408335	G003450595
G000331595	G902642035
G000455325	G001475495
G000828085	G012031965
G000317205	G003261315
G000331595	G902646925
G000314735	G003963195
G000017145	G000421085
G001262595	G000878385
G000519105	G900548915
G000321025	G900538655
G000426925	G001672095
G000177615	G900067225
G000278295	G000296235
G000521175	G001672095
G000191145	G008978205
G000017405	G012839885
G000312525	G000296235
G000437075	G002492685
G000183885	G008269695
G000484635	G001724135
G000312705	G001672095
G000824825	G004018905
G000759935	G902521125
G000433375	G006218125
G000183565	G900538605
G000960735	G008269695
G000341065	G000340945
G000759855	G902521125
G000311825	G900538655
G000340565	G003556955
G000759865	G902521125
G000146165	G003241225
G000759855	G902534475
G000221145	G001812935
G000759865	G902534475
G000369105	G900322255
G000759935	G902534475
G000204035	G002362815
G000340565	G007692755
G000830905	G002431625
G000759955	G902521125
G000764205	G002162925
G000291295	G001584035
G001459095	G002431625
G000158595	G902521125
G000011905	G002431625
G000238275	G002297745
G000832605	G001584035
G000012645	G902534475
G000634635	G902521125
G000023605	G002869945
G000015965	G902521125
G000634355	G902521125
G000634615	G902521125
G000015645	G902521125
G000634595	G902521125
G001275395	G003261315
G000635595	G902521125
G000447295	G003261315
G000634855	G902521125
G000635535	G902521125
G001180325	G902521125
G000635715	G902521125
G000018605	G001509385
G000181895	G000502035
G000634675	G902521125
G000183405	G002878065
G000635875	G902521125
G000434815	G002492145
G000635515	G902521125
G000501215	G000502035
G000980495	G002492145
G000634435	G902521125
G000501015	G000502035
G000501275	G000502035
G000759955	G902534475
G000007825	G001584035
G001420855	G001584035
G000501875	G000502035
G000501695	G000502035
G000501615	G000502035
G000501235	G000502035
G000501155	G000502035
G000501735	G000502035
G000501675	G000502035
G000501915	G000502035
G000635455	G902521125
G000072485	G002991565
G000501895	G000502035
G000746645	G008978205
G000714705	G000502035
G000501755	G000502035
G000501595	G000502035
G000007325	G002211645
G000500975	G000502035
G000739475	G000502035
G000428825	G003542385
G000027165	G004331935
G000317245	G003261315
G000304735	G000502035
G000612605	G900538725
G000317995	G900118655
G000300045	G000502035
G001401485	G900118655
G001401455	G900118655
G000298435	G900118655
G000298535	G900118655
G000270385	G900118655
G000204175	G900118655
G000227525	G902594275
G000298555	G900118655
G000298375	G900118655
G000211155	G900118655
G000270405	G900118655
G000270425	G900118655
G000687395	G900118655
G000298515	G900118655
G000298455	G900118655
G000338695	G900118655
G001401475	G900118655
G000415685	G900118655
G000298495	G900118655
G000191925	G900118655
G000219105	G006519765
G000007845	G001584035
G000417585	G900118655
G001401465	G900118655
G000227525	G902612085
G000007845	G001584035
G000417845	G900118655
G000008165	G001584035
G000786005	G900118655
G000298475	G900118655
G000008505	G001584035
G000298415	G900118655
G001404695	G900543615
G000246875	G011742915
G000527135	G003248915
G000784835	G001508125
G000455225	G002319965
G000015965	G902534475
G000384495	G902543325
G000648615	G006777585
G000384495	G902577835
G000723745	G002492685
G000020225	G002492685
G000196735	G000411595
G000092985	G000340945
G000015645	G902534475
G001405375	G900543615
G001180325	G902534475
G000635595	G902534475
G000634615	G902534475
G000634855	G902534475
G000635535	G902534475
G000255295	G003612255
G000635715	G902534475
G000169035	G900543615
G000434535	G900543615
G000006965	G000421085
G000431455	G002492145
G000634595	G902534475
G000635875	G902534475
G000635515	G902534475
G000980515	G002492685
G000436395	G002492685
G000619785	G008269695
G000634355	G902534475
G000635455	G902534475
G000634675	G902534475
G000431315	G902383995
G000297435	G009996405
G000332585	G009996405
G000332585	G007095915
G000297435	G007095915
G000205025	G002492145
G000330925	G007095915
G000330925	G009996405
G000778805	G900636085
G000981785	G009996405
G000307995	G009996405
G000384995	G902611185
G000634435	G902534475
G000312245	G009996405
G000307995	G007095915
G000312185	G009996405
G000312245	G007095915
G000312205	G009996405
G000981785	G007095915
G000312205	G007095915
G000312285	G009996405
G000312725	G007095915
G000599945	G009996405
G001264245	G007095915
G000312285	G007095915
G000526855	G003013295
G000230655	G001508125
G000008545	G001508125
G000978555	G001508125
G000513215	G001914155
G000312185	G007095915
G001264245	G009996405
G000988325	G002322695
G000312725	G009996405
G000787675	G007095915
G000369145	G900322255
G000778805	G900323745
G000312165	G007095915
G000010625	G007095915
G000312165	G009996405
G000312265	G007095915
G000781475	G900636085
G000777875	G900323745
G000312265	G009996405
G000010625	G009996405
G001294745	G002388375
G000781475	G900323745
G000248055	G002500165
G000160455	G002433005
G000243335	G008933815
G000315585	G003261315
G000190755	G002454495
G000016785	G001508125
G000338055	G003241005
G000934435	G003261315
G000777575	G900636085
G000021885	G009797425
G000006925	G900323745
G000183345	G900636085
G000012845	G001404395
G000012685	G006519765
G000183345	G900323745
G000777575	G900323745
G000264335	G902168095
G000689175	G902642035
G000444545	G009797425
G000426465	G009360455
G000779535	G900636085
G000008865	G900323745
G000006925	G900323745
G000758725	G002367055
G000312125	G002363295
G000026345	G900636085
