G000147815	G001484705	77.4877
G000020725	G003499925	77.4919
G000349845	G003476965	77.5259
G000317025	G012032735	77.5427
G000204645	G001724135	77.5605
G000689415	G003476965	77.5899
G001267535	G003507845	77.596
G000317025	G012034135	77.602
G000144605	G002362815	77.615
G000519045	G002396545	77.6183
G000092385	G001484705	77.6212
G000973085	G900542205	77.6345
G000336255	G003507845	77.6353
G001418465	G000719825	77.6451
G000158915	G001484705	77.6468
G001188915	G000390045	77.6491
G000684975	G000818655	77.6568
G000213805	G003476965	77.6653
G000719955	G000719825	77.6706
G000964095	G002381195	77.6766
G000785435	G000818655	77.6849
G001279695	G000719825	77.6959
G000253295	G003987855	77.7145
G000721075	G001570385	77.72
G000317535	G007692755	77.7248
G000482805	G002384255	77.7431
G001424025	G002362815	77.774
G001422605	G900538725	77.7744
G000012685	G003612255	77.8002
G000717345	G001484705	77.8007
G000718635	G001484705	77.8444
G000959245	G000818655	77.8522
G000420065	G008661855	77.858
G001450355	G003476965	77.9003
G000715975	G001570385	77.9163
G000285555	G002342085	77.9326
G000717345	G000719825	77.9383
G000960765	G003132105	77.9719
G000741165	G008673975	77.9829
G000739795	G000818655	77.9831
G000300995	G002337725	77.9856
G000020025	G007692755	77.988
G000615525	G003476965	77.9949
G000161775	G003516265	78.0012
G000227685	G007116035	78.0023
G000020645	G005862225	78.0063
G000013365	G004799405	78.0783
G000720305	G001484705	78.1009
G000455385	G003476965	78.1108
G000497425	G001484705	78.114
G000219105	G003612255	78.1216
G000773975	G003507845	78.1323
G000314575	G003522405	78.1433
G000196815	G900696505	78.1519
G000961805	G003132105	78.1768
G000246925	G900538605	78.1932
G000717745	G001484705	78.1972
G000024865	G001570385	78.208
G000717025	G001484705	78.2206
G000321415	G007116035	78.2296
G000176855	G002281795	78.2317
G000344805	G004799405	78.2375
G000806415	G003476965	78.2379
G000255295	G006519765	78.2534
G001425945	G002362815	78.2939
G001419745	G000719825	78.3105
G000830005	G000719825	78.32
G000412695	G003476965	78.3363
G001279695	G001484705	78.3379
G000196615	G003507845	78.3524
G001298675	G002281795	78.3795
G000518285	G003013295	78.4001
G001427825	G002362815	78.4039
G000964095	G900322255	78.4063
G000011545	G000818655	78.4111
G000158935	G000719825	78.416
G001049335	G002869945	78.4169
