Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Animal distal gut (saline),Subsurface (non-saline),18,1000,2.99959670610311,0.011988011988011988,0.015073162131985663
Animal distal gut (saline),Surface (saline),16,1000,4.460526191932318,0.016983016983016984,0.020451379606309186
Animal distal gut (saline),Water (non-saline),21,1000,7.276389796322298,0.001998001998001998,0.0029201567663106123
Animal distal gut (saline),Water (saline),50,1000,23.18761727976584,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Animal proximal gut (saline),26,1000,7.931452308264309,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Animal secretion (saline),25,1000,42.015309517198645,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Fungus corpus (non-saline),17,1000,11.103679894894785,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Plant corpus (non-saline),33,1000,5.822846937185919,0.001998001998001998,0.0029201567663106123
Animal proximal gut (non-saline),Plant surface (non-saline),20,1000,6.786732987058884,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Plant surface (saline),28,1000,24.722052435882407,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Sediment (non-saline),50,1000,32.95584814545547,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Sediment (saline),69,1000,18.48783775106494,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Soil (non-saline),167,1000,75.44740193295515,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Soil (saline),27,1000,37.047150430089665,0.000999000999000999,0.0016115959512185928
Animal proximal gut (non-saline),Subsurface (non-saline),11,1000,2.7083142555334843,0.012987012987012988,0.016210067304957818
Animal proximal gut (non-saline),Surface (saline),9,1000,3.5859984838515637,0.01098901098901099,0.014235764235764238
Animal proximal gut (non-saline),Water (non-saline),14,1000,3.3529094459945505,0.013986013986013986,0.017205815766966847
Animal proximal gut (non-saline),Water (saline),43,1000,19.020334847090947,0.000999000999000999,0.0016115959512185928
Animal proximal gut (saline),Animal secretion (saline),41,1000,4.605838055233777,0.00999000999000999,0.013140705448397757
Animal proximal gut (saline),Fungus corpus (non-saline),33,1000,2.1644115695985855,0.1088911088911089,0.1178505039264533
Animal proximal gut (saline),Plant corpus (non-saline),49,1000,1.0561064411429681,0.3096903096903097,0.3152204937919224
Animal proximal gut (saline),Plant surface (non-saline),36,1000,8.438130240066439,0.001998001998001998,0.0029201567663106123
Animal proximal gut (saline),Plant surface (saline),44,1000,8.024162627819779,0.001998001998001998,0.0029201567663106123
Animal proximal gut (saline),Sediment (non-saline),66,1000,65.94895992865504,0.000999000999000999,0.0016115959512185928
Animal proximal gut (saline),Sediment (saline),85,1000,50.088913535611525,0.000999000999000999,0.0016115959512185928
Animal proximal gut (saline),Soil (non-saline),183,1000,244.66052455074748,0.000999000999000999,0.0016115959512185928
Animal proximal gut (saline),Soil (saline),43,1000,68.71765178226754,0.000999000999000999,0.0016115959512185928
Animal proximal gut (saline),Subsurface (non-saline),27,1000,2.3344103269195693,0.061938061938061936,0.06968031968031968
Animal proximal gut (saline),Surface (saline),25,1000,1.9334852434108347,0.12087912087912088,0.12918956043956045
Animal proximal gut (saline),Water (non-saline),30,1000,5.465053286738721,0.00999000999000999,0.013140705448397757
