cladeID	nkmers	card	gsize	csize
N5848	177160	2	200245	543
N5849	292282	5	200245	541
N5404	469337	7	200276	543
N6288	119784	2	200276	545
N5847	173758	3	200278	546
N5403	264224	4	200284	547
N5002	733458	11	200335	547
N9204	207260	2	200935	549
N9422	258620	2	200938	551
N9205	382422	3	200940	552
N8656	722572	6	200989	553
N8309	875888	7	201052	554
N8942	213886	2	201052	556
N8655	315011	3	201054	557
N8308	390904	4	201060	558
N7931	1263285	11	201614	558
N9202	233102	2	201614	560
N8940	390413	3	201616	561
N8653	527596	4	201622	562
N9203	187224	2	201622	564
N8941	376317	3	201624	565
N8654	538114	4	201630	566
N8307	1064093	8	201742	566
N7930	1183698	9	201832	567
N7534	2444325	20	202919	567
N7929	218559	2	202919	569
N7533	226733	3	202921	570
N7140	2668796	23	203451	570
N7532	269592	2	203451	572
N7139	411540	3	203453	573
N6714	3078353	26	204197	573
N6287	3193181	27	204268	574
N8306	291303	2	204268	576
N7927	246969	2	204270	579
N7928	419875	3	204270	577
N7531	665355	5	204290	579
N8305	315659	2	204290	581
N7926	464345	3	204292	582
N7530	618594	4	204298	583
N7138	1279436	9	204509	583
N7529	140735	2	204509	585
N7137	314783	3	204511	586
N6713	1593497	12	204664	586
N6286	1742472	13	204770	587
N5846	4934873	40	205236	587
N8304	265342	2	205236	589
N7925	415841	3	205238	590
N7528	554014	4	205244	591
N7136	666841	5	205257	592
N6712	893423	6	205279	593
N6285	993144	7	205308	594
N6711	170646	2	205308	596
N6284	233748	3	205310	597
N5845	1226276	10	205453	597
N5402	6159901	50	206233	597
N8938	148664	2	206233	599
N8651	172816	3	206235	600
N9604	202637	2	206235	602
N9605	156408	2	206235	604
N9420	272387	4	206243	604
N9606	241501	2	206243	606
N9762	6246	2	206243	608
N9607	103750	3	206245	609
N9421	330938	5	206250	609
N9201	593490	9	206332	609
N8939	730141	10	206395	610
N8652	861112	11	206491	611
N8302	283820	2	206687	613
N8303	1032381	14	206687	611
N7924	1315354	16	206886	613
N7527	1483753	17	206999	614
N8650	149413	2	206999	616
N8300	139683	2	207001	619
N8301	272068	3	207001	617
N7923	411469	5	207018	619
N7526	479422	6	207039	620
N7135	1962656	23	207302	620
N6710	2088246	24	207401	621
N8649	297307	2	207401	623
N8299	367898	3	207403	624
N8648	259164	2	207403	626
N8298	407363	3	207405	627
N7922	761985	6	207453	627
N7525	918271	7	207509	628
N8297	208410	2	207509	630
N7921	369665	3	207511	631
N7524	520556	4	207517	632
N7134	1437953	11	207742	632
N6709	1570052	12	207838	633
N6283	3654147	36	208693	633
N5844	3796104	37	208856	634
N6708	277129	2	208856	636
N6282	388705	3	208858	637
N5843	506141	4	208864	638
N5401	4301710	41	209186	638
N5001	10456772	91	211552	638
N7522	119937	2	211552	643
N7523	171839	3	211552	641
N7920	92588	2	211552	640
N7133	285965	5	211560	643
N6706	145960	2	211574	646
N6707	369240	6	211574	644
