Sample ID	empo_0	empo_1	empo_2	empo_3	empo_4	empo_x
13114.rohwer.85.s017	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s018	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s019	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s020	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s021	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s022	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s023	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s024	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s025	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s026	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.85.s027	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.86.s001	EMP sample	Free-living	Free-living (s)	Aqueous (s)	Surface (saline)	Surface
13114.rohwer.86.s002	EMP sample	Free-living	Free-living (s)	Solid (s)	Sediment (saline)	Sediment
13114.rohwer.86.s003	EMP sample	Free-living	Free-living (s)	Aqueous (s)	Surface (saline)	Surface
13114.roy.chowdhury.45.s001	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s002	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s003	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s004	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s005	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s006	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s007	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s008	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s009	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s010	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s011	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s012	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s013	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
13114.roy.chowdhury.45.s014	EMP sample	Free-living	Free-living (s)	Solid (s)	Soil (saline)	Soil
