	rid	error
136	G000152145_1_read3718278	0.1544952931
137	G000372165_1_read8765522	0.801234664
138	G000372165_1_read672754	0.9742546421
139	G001796355_1_read4191158	0.005397221289934966
140	G001796355_1_read1746858	0.4051252027
141	G001796355_1_read7471245	0.09516671090748138
142	G001796355_1_read6087377	0.006246811605948955
143	G001796355_1_read6375857	0.003754987841320813
144	G001796355_1_read1575615	0.5803519855
145	G001796355_1_read1552810	0.254767536
146	G001796355_1_read7704962	0.4003842265
147	G000252445_4_read1155249	0.012513234740118964
148	G000252445_4_read9902018	0.1289291238
149	G000252445_3_read6405826	0.009955832678108529
150	G000252445_1_read9896586	0.1310286366
151	G000252445_1_read1496825	0.12812668230000002
152	G000252445_3_read7964695	0.12812668230000002
153	G000252445_3_read4620072	0.1330622994
154	G000252445_3_read6537630	0.12812668230000002
155	G000252445_2_read6859092	0.05814456991645484
156	G000252445_2_read65181	0.009955832678108529
157	G000252445_4_read3416958	0.09102222269206572
158	G000252445_3_read8193676	0.12812668230000002
159	G000008565_1_read3466932	0.1514065041
160	G000008565_2_read4028120	0.01285925736910859
161	G000008565_3_read5471411	0.006662880649262248
162	G000252445_4_read8588110	0.05814456991645484
163	G000196455_3_read9870757	0.4570175559
164	G001544015_2_read3633715	0.7178962563
165	G000411555_4_read7591527	0.0681012512
166	G000411555_3_read7025070	0.2963278424
167	G000564995_1_read41099	0.06469419471781418
168	G000411555_1_read7290288	0.2973486286
169	G000411555_2_read5340244	0.03149639780142232
170	G000411555_3_read6958170	0.2973486286
171	G000564995_1_read8501593	0.01627313019856963
172	G000411555_4_read1416843	0.03140101217132035
173	G000411555_1_read6221895	0.03143356123001554
174	G000411555_4_read7180622	0.04730004525
175	G000411555_2_read1325602	0.03140055271214559
176	G900108495_1_read8296999	0.002667522310268433
177	G900108495_1_read5682870	0.12773893675490972
178	G000411555_2_read6955676	0.23851345949999997
179	G900108495_1_read5806977	0.017369441700000002
180	G900128965_1_read3920777	0.522200515
181	G001023575_1_read9938094	0.5757098391
182	G000092225_2_read4228510	0.5075902069
183	G000585375_1_read7337880	0.05396922615062096
184	G001429255_1_read1966266	0.0012232844015811575
185	G000585375_2_read8838013	0.5036907367
186	G001583415_2_read8316172	0.22998897767961277
187	G000585375_1_read9694134	0.3769594526
188	G000719275_1_read7832905	0.3617827629
189	G001302585_1_read2758060	0.4319765824
190	G001302585_3_read8614425	0.43889450909999994
191	G000585375_2_read3236167	0.3294819459
192	G000024025_1_read4119770	0.4866701908
193	G001428305_1_read7170510	0.4559884468
194	G000719275_1_read9688723	0.0005462501066693181
195	G000092225_2_read6666540	0.0683468566
196	G000023925_1_read3449784	0.6537736613999999
197	G000023865_3_read6050520	0.8051640523
198	G000092225_1_read5595643	0.0683468566
199	G000023925_2_read8759309	0.36554267279999997
200	G000023925_2_read4172411	0.5338022245999999
201	G000585375_2_read4893700	0.32806412
202	G000960475_1_read4239994	0.1994472689
203	G000737865_3_read4844869	0.7254353644
204	G000413315_4_read7901890	0.922954498
205	G000960475_1_read4768707	0.6408920936
206	G001302585_3_read1557018	0.6054955563
207	G001429255_1_read6017019	0.09126269771615998
208	G000413315_2_read9408250	0.7712072587
209	G000826085_1_read1275862	0.43361787300132165
210	G000768705_1_read6281594	0.025744947464078415
211	G000826085_3_read246135	0.19961789003278138
212	G000024025_2_read4628599	0.3769897836
213	G000960475_1_read742456	0.6872156431
214	G000585375_1_read7320675	0.46558159800000004
215	G000826085_2_read9543666	0.43361787300132165
216	G000308795_1_read3637752	0.34647364309999995
217	G001302585_2_read9883145	0.4319765824
218	G000620625_1_read5034548	0.012640887751933946
219	G000092225_2_read3175011	0.046506551320395634
220	G000092225_2_read4191882	0.046506551320395634
221	G000023865_3_read6509276	0.002289435622120789
222	G001302585_1_read7415929	0.2176050416
